lambda_1,lambda_2,lambda_3,perplexity
0.9704,0.02,0.0096,15.023721777959798
0.9704,0.0201,0.0095,15.06282094963415
0.9704,0.0202,0.0094,15.10176332512031
0.9704,0.0203,0.0093,15.141064792719742
0.9704,0.0204,0.0092,15.180071589008005
0.9704,0.0205,0.0091,15.219131580972206
0.9704,0.0206,0.009,15.258229326631708
0.9704,0.0207,0.0089,15.29725161948256
0.9704,0.0208,0.0088,15.336232895013294
0.9704,0.0209,0.0087,15.375095330588334
0.9704,0.021,0.0086,15.4137976356145
0.9704,0.0211,0.0085,15.452862037355413
0.9704,0.0212,0.0084,15.491610522841633
0.9704,0.0213,0.0083,15.530413985152652
0.9704,0.0214,0.0082,15.569329537554083
0.9704,0.0215,0.0081,15.608078710324266
0.9704,0.0216,0.008,15.646917118037544
0.9704,0.0217,0.0079,15.685329675022253
0.9704,0.0218,0.0078,15.724141389497717
0.9704,0.0219,0.0077,15.76286489421669
0.9704,0.022,0.0076,15.801321383077354
0.9704,0.0221,0.0075,15.839959061626336
0.9704,0.0222,0.0074,15.878736046665734
0.9704,0.0223,0.0073,15.91689202885092
0.9704,0.0224,0.0072,15.95544998253802
0.9704,0.0225,0.0071,15.993943780162034
0.9704,0.0226,0.007,16.03229234467869
0.9704,0.0227,0.0069,16.070810785877658
0.9704,0.0228,0.0068,16.109248848799115
0.9704,0.0229,0.0067,16.147624336826347
0.9704,0.023,0.0066,16.185960462849994
0.9704,0.0231,0.0065,16.22430915125316
0.9704,0.0232,0.0064,16.262578915696068
0.9704,0.0233,0.0063,16.300746214843173
0.9704,0.0234,0.0062,16.339282068254764
0.9704,0.0235,0.0061,16.377261905389236
0.9704,0.0236,0.006,16.4154885987993
0.9704,0.0237,0.0059,16.453576331628867
0.9704,0.0238,0.0058,16.491918183446366
0.9704,0.0239,0.0057,16.529951635562387
0.9704,0.024,0.0056,16.568215450279435
0.9704,0.0241,0.0055,16.606201168196755
0.9704,0.0242,0.0054,16.64394959022812
0.9704,0.0243,0.0053,16.682257324988534
0.9704,0.0244,0.0052,16.720274136329206
0.9704,0.0245,0.0051,16.75804379609266
0.9704,0.0246,0.005,16.796143216856493
0.9704,0.0247,0.0049,16.833919688469265
0.9704,0.0248,0.0048,16.872005571992677
0.9704,0.0249,0.0047,16.909840264807173
0.9704,0.025,0.0046,16.947790435544736
0.9704,0.0251,0.0045,16.985827585828854
0.9704,0.0252,0.0044,17.023479579963293
0.9704,0.0253,0.0043,17.061089421140153
0.9704,0.0254,0.0042,17.099123598187536
0.9704,0.0255,0.0041,17.136741607757646
0.9704,0.0256,0.004,17.174439552771016
0.9704,0.0257,0.0039,17.212335612783225
0.9704,0.0258,0.0038,17.250169963792196
0.9704,0.0259,0.0037,17.287700960594474
0.9704,0.026,0.0036,17.325300365682725
0.9704,0.0261,0.0035,17.36322280157502
0.9704,0.0262,0.0034,17.4007807258038
0.9704,0.0263,0.0033,17.438229790524577
0.9704,0.0264,0.0032,17.47570845972083
0.9704,0.0265,0.0031,17.5133076086399
0.9704,0.0266,0.003,17.550982775381105
0.9704,0.0267,0.0029,17.58848260950065
0.9704,0.0268,0.0028,17.62601473636151
0.9704,0.0269,0.0027,17.66372122394348
0.9704,0.027,0.0026,17.70117622356868
0.9704,0.0271,0.0025,17.73864901985927
0.9704,0.0272,0.0024,17.77618493039361
0.9704,0.0273,0.0023,17.813518686726347
0.9704,0.0274,0.0022,17.85112934105738
0.9704,0.0275,0.0021,17.88836582235101
0.9704,0.0276,0.002,17.925873122222914
0.9704,0.0277,0.0019,17.96358263009088
0.9704,0.0278,0.0018,18.000961835356012
0.9704,0.0279,0.0017,18.038052064547973
0.9704,0.028,0.0016,18.075732161727647
0.9704,0.0281,0.0015,18.113052518245464
0.9704,0.0282,0.0014,18.150424580662083
0.9704,0.0283,0.0013,18.187810264457777
0.9704,0.0284,0.0012,18.22532831985806
0.9704,0.0285,0.0011,18.26297843053511
0.9704,0.0286,0.001,18.30038377392941
0.9704,0.0287,0.0009,18.3375850743481
0.9704,0.0288,0.0008,18.37523954699181
0.9704,0.0289,0.0007,18.412740655165983
0.9704,0.029,0.0006,18.45046625046115
0.9704,0.0291,0.0005,18.48802334508587
0.9704,0.0292,0.0004,18.525645529688713
0.9704,0.0293,0.0003,18.563579188550705
0.9704,0.0294,0.0002,18.601933181482995
0.9704,0.0295,0.0001,18.64018640161078
0.9705,0.0148,0.0147,12.93828041278436
0.9705,0.0149,0.0146,12.979305721214603
0.9705,0.015,0.0145,13.020166156635792
0.9705,0.0151,0.0144,13.061306200876116
0.9705,0.0152,0.0143,13.102183290191931
0.9705,0.0153,0.0142,13.14324114635432
0.9705,0.0154,0.0141,13.184175181174938
0.9705,0.0155,0.014,13.225026999432492
0.9705,0.0156,0.0139,13.265692309367292
0.9705,0.0157,0.0138,13.306709778833971
0.9705,0.0158,0.0137,13.347394229848415
0.9705,0.0159,0.0136,13.388088604369528
0.9705,0.016,0.0135,13.42860508663915
0.9705,0.0161,0.0134,13.469106388149283
0.9705,0.0162,0.0133,13.509800688826182
